ke	k @
geomatik	dZ i o m a t i KK
geografikal	dZ i o g r a f i k a l
geogery	dZ i o dZ @ r i
geofrey	dZ i o f r i
geodimeter	dZ i o d i m i t @
geo-environmental	dZ i o @ n v aj r @ n m @ n t @ l
geo-dagang	dZ i o d a g a NG
genturungnya	g @ n t u r o NG NJ a
genturun	g @ n t u r u n
gentung	g @ n t o NG
gentrung	dZ e n t @ r o NG
gentil	g @ n t i l
gentali	g @ n t a l i
genselan	g @ n s @ l a n
gengsterismeengka	g e NG s t @ r i s m @ @ NG k a
genethan	dZ e n e t @ n
geneid	dZ e n e t
genat	dZ e n a t
genaar	dZ e n a r
gempruru	g @ m p r u r u
gemian	g @ m j a n
gembuan	g @ m b u a n
gemba	g @ m b @
geman	g @ m @ n
gelon	g @ l o n
geliung	g @ l i o NG
gelindung	g @ l i n d o NG
gelimai	g @ l i m aj
gelima	g @ l i m @
gelik	g @ l i KK
gelema	g @ l @ m a
gelawat	g @ l a w a t
gelasak	g @ l a s a KK
gelapas	g @ l a p a s
gelalau	g @ l a l aw
gela	g @ l a
geithner	g e i t n @
geija	g e i dZ a
geh	g e h
gegulai	g @ g u l @ i
gegiau	g @ g j aw
gegenih	g @ g @ n e h
gegelik	g @ g @ l i KK
geduk	g @ d o KK
gecain	g @ k e n
gazetted	g @ z e t d
gayathri	g a j a t r i
gayan	g a j a n
gawea	g a w i a
gawe	g a w @
gatku	g a t k u
gatah	g a t a h
gastroentrithis	g a s t r o @ n t r i t i s
gasoffshore	g a s o f SS o r
gasieng	g a s e NG
gasah	g a s a h
garung	g a r o NG
garika	g a r i k a
garapka	g a r a p k a
garamagi	g a r a m a g i
garaduate	g a r e dZ u @ t
gaong	g a o NG
ganyol	g a NJ o l
ganyao	g a NJ a o
ganya	g a NJ @
gantie	g a n t i
ganoh	g a n o h
ganjang	g a n dZ a NG
gangstar	g e NG s t a r
gangnam	g a NG n @ m
gangkatka	g a NG k a t k a
ganggong	g a NG g o NG
ganggam	g a NG g a m
gangang	g a NG a NG
ganesa	g a n e s a
gandung	g a n d o NG
gandin	g a n d i n
ganastusah	g a n a s t u s a h
gamtung	g a m t o NG
gamjap	g a m dZ a p
gambai	g a m b aj
galvanisisng	g a l v a n i s i s @ NG
galung	g a l o NG
galundaina	g a l u n d aj n a
galieh	g a l i e h
galeri-pua	g a l @ r i p w a
galeh	g a l e h
galanggang	g a l a NG g a NG
galandum	g a l a n d o m
gaitka	g a e t k a
gaip	g aj p
gaid	g e d
gahpur	g a h p u r
gagung	g a g o NG
gagangudah	g a g a NG u d @
gagahati	g a g a h a t i
gafur	g a f o
gadom	g a d o m
gadoh	g a d o h
gadjet	g a d dZ e t
gadish	g a d i SS
gadip	g a d i p
gadin	g a d i n
gabenur	g a b @ n o
gabarm	g a b a m
gabai	g a b aj
fyb	e f w aj b i
futtaim	f u t a i m
fut	f u t
fungsian	f u NG s i a n
fun-run	f a n r u n
fun-fun	f a n f u n
fullan	f u l a n
fulfil	f u l f i l
fudzi	f u d z i
fudin	f u d i n
fub	f u b
fts	e f t i e s
fsgk	e f e s dZ i k e
frusisi	f r u s i s i
frontliners	f r a n t l aj n @ s
frela	f r e l @
freedy	f r i d i
freddienagai	f r e d i n a g aj
frcl	e f a r s i e l
frannelya	f r e n @ l j a
franciscia	f r e n tS i s k j @
francias	f r a n s j a s
francessca	f r a n s e s k a
fracio	f r e s i o
foziah	f o z j a h
fourfourtwo	f o r f o r t u
fotovolta	f o t o v o l t a
fot	f o t
fosim	f o s i m
forumers	f o r @ m @ s
forstina	f o s t i n a
forografi	f o r o g r a f i
formaldehye	f o r m a l d e aj
fonik	f o n i KK
folotilla	f o l o t i l a
fmt	e f e m t i
fly-over	f l aj o v @
florince	f l o r i n s
flik	f l i KK
fledarus	f l @ d a r u s
fksdca	e f k e e s d i s i e
fizo	f i z o
fizalini	f i z a l i n i
fitriku	f i t r i k u
fison	f i s @ n
fisiologikal	f i s i o l o g i k @ l
firmpower	f @ m p aw @
firaon	f i r a o n
finasku	f i n a s k u
finanace	f aj n e n @ s
filsopi	f i l s @ p i
filnalis	f i l n @ l i s
filifina	f i l i f i n a
filemkitai	f i l @ m k i t aj
fiedarus	f i e d a r u s
fidiana	f i d j a n a
fiatyouthbintulu	f j a t i aw t b i n t u l u
fetival	f @ t i v @ l
fertival	f @ t i v @ l
fertiliser	f @ t i l aj z @
ferrosilicon	f e r o s i l i k @ n
ferroalloy	f @ r o o l oj
fernande	f @ r n a n d e
feringghi	f @ r i NG g i
fenny	f e n i
feng-shui	f e NG s h u i
felissia	f e l i SS @
felician	f e l i s j a n
feed-in	f i d i n
feburai	f @ b u r aj
februari-march	f e b r w a r i m a r tS
fdam-bisi	e f d i e e m b i s i
fca	e f s i e
fazril	f a z r e l
fazillah	f a z i l a h
fazilan	f a z i l a n
fazikal	f a z i k a l
fazarul	f a z a r u l
fazallah	f a z a l a h
fatiyah	f a t i j a h
fatiya	f a t i j a
fatheazam	f a t @ a z a m
fasilti	f a s i l t i
fasilator	f a s i l a t o
fashionista	f e SS @ n i s t a
fashar	f a SS a
farysha	f a r i SS a
farrez	f a r @ z
farquhari	f a r k u h a r i
farmasis	f a r m a s i s
farinah	f a r i n a h
faridzul	f a r i d z u l
fariddah	f a r i d a h
farahain	f a r a h aj n
farafina	f a r a f i n a
fanuel	f e n j u @ l
famayusof	f a m a j u s o f
falat	f a l a t
fakt	f a KK t
faisyal	f aj SS a l
faisaluddin	f aj s a l u d i n
fairudi	f aj r u d i
fadzilllah	f a d z i l l a h
fadina	f a d i n a
fadiah	f a d j a h
fadhillah	f a d h i l a h
faderick	f a d @ r i k
fachrio	f a tS r i o
ezos	e z o s
ezlin	e z l i n
eytical	aj t i k @ l
expresi	e KK s p r e s i
experimen	i KK s p e r i m @ n
experes	e KK s p j @ r s
exora	e KK s @ r @
exo	e KK s o
exhbition	e KK s b i SS @ n
exgufan	e KK s g u f a n
exfoliant	e KK s f o l j @ n t
excutive	e KK s k j u t i v
exco-pbb	@ s tS o p b i b i
exchhange	i KK s t SS e n dZ
ex-treker	e KK s t r @ k @
ex-temenggung	e KK s t @ m @ NG g o NG
ex-temenggong	e KK s t @ m @ NG g o NG
ex-tadika	e KK s t a d i k @
ex-staff	e KK s s t a f
ex-senator	e KK s s e n a t o
ex-sekula	e KK s s @ k u l a
ex-sekreteri	e KK s s e k r e t e r i
ex-sarawak	e KK s s a r a w a KK
ex-residen	e KK s r e s i d @ n
ex-renjer	e KK s r e n dZ @
ex-patriate	e KK s p a t r j @ t
ex-parte-pemohon	e KK s p a r t @ p @ m o h o n
ex-panglima	e KK s p a NG l i m @
ex-mpjulau	e KK s m p dZ u l aw
ex-malaysian	e KK s m a l a j s j @ n
ex-lieutenant	e KK s l u t e n @ n t
ex-lecturer	e KK s l e KK tS @ r @
ex-korporat	e KK s k o r p o r a t
ex-korporal	e KK s k o r p o r a l
ex-kabani	e KK s k a b a n i
ex-dun	e KK s d u n
ex-do	e KK s d o
ex-dj	e KK s dZ
ex-direktor	e KK s d i r e KK t o
ex-cr	e KK s s i a r
ex-chalun	e KK s tS h a l u n
ex-capt	e KK s tS a p t @ n
ex-bujang	e KK s b u dZ a NG
ex-attorney	e KK s a t @ n i
ex-atm	e KK s a t i e m
ex-af	e KK s a f
ewal	e w a l
evick	e v i k
evgcc	i v i dZ i s i s i
eveyn	i v i n
evershine	e v @ SS aj n
evelyne	i v l i n 
eul	j u l
euk	j u KK
etnocentricity	e t n o s e n t r i s i t i
etim	e t i m
etik	e t i KK
ethnological	e t n o l @ dZ i k @ l
ethnik	e t n i KK
etawie	e t a w i 
etapi	e t a p i
etanka	e t a n k @
estasy	e s t @ s i
esplaned	e s p l e n d
esplande	e s p l e n d
espirit	e s p i r i t
eskpresi	i e s k e p r e s i
eshter	e SS t @
eshady	e SS a d i
esekutif	e s @ k u t i f
ervita	@ v i t a
eropahdi	e r o p a h d i
erong	e r o NG
ermpu	i a e m p i j u
erlin	@ l i n
erfan	@ r f a n
erak	e r a KK
eprd	i p i a r d i
epoi	@ p oj
epngawa	i p i e n g a w a
epit	e p i t
epidemologi	e p i d @ m o l o dZ i
eosk	i o e s k e
eone	w a n
entuluti	@ n t u l u t i
entuludi	@ n t u l u d i
entukuh	@ n t u k o h
entuba	@ n t u b a
entuat	@ n t w a t
entoi	e n t oj
entingan	e n t i NG a n
entimun	e n t i m u n
entigiskelebih	e n t i dZ i s k @ l @ b e h
entigar	e n t i g a
entery	e n t @ r i
enterprisedi	e n t @ p r aj z d i
enterie	e n t @ r i
enterbensi	e n t @ r b @ n s i
entera	@ n t @ r @
entelawan	e n t @ l a w a n
entebung	e n t @ b o NG
entebuh	e n t @ b o h
entebong	e n t @ b o NG
entebar	e n t @ b a
entasin	e n t a s i n
entasan	@ n t a s a n
entas	@ n t a s
entaroh-sungai	e n @ r o h s u NG aj
entaramenua	@ n t a r a m @ n w a
entarabasa	@ n t a r @ b a s @
entakong	@ n t a k o NG
entai	e n t aj
entabalang	@ n t a b a l a NG
entabai-julau	@ n t a b aj dZ u l aw
ensuruk	i n SS o r o KK
ensuna	e n s u n a
ensumbar	e n s u m b a
ensugang	i n SS u g a NG
ensudin	e n s u d i n
ensnus	i n SS n @ s
ensna	e n s n a
ensika	e n s i k a
ensibanka	e n s i b a n k @
enserami	e n s @ r a m i
ensenus	i n SS @ n @ s
enseluai	e n s @ l w aj
enselitka	e n s @ l e t k a
enselai	e n s @ l aj
ensekut	e n s @ k u t
ensegit	e n s @ g i t
ensapung	e n s a p o NG
ensanusudah	e n s a n u s u d a h
ensanaus	e n s a n aw s
ensanaku	e n s a n @ k u
ensanak	e n s a n a KK
ensan	e n s a n
ensam	e n s a m
ensali	e n s a l i
ensabi	e n s a b i
enrata	e n r a t a
enquiry	e n k w aj @ r i
enop	i n o p
ennsanus	e n s e n @ s
ennggau	e n NG g aw
enngau	e n NG aw
enn	e n
enmu	e n m u
enmggau	e n m g aw
enmda	e n e m d i e
enli	i n l aj
enkerumung	e n k @ r u m o NG
enjuar	@ n dZ w a r
enju	e n dZ u
enjineer	e n dZ i n j @
englishnya	@ NG l i SS NJ @
engkuda	@ NG k u d a
engkuat	@ NG k w a t
engkual	@ NG k w a l
engkot	@ NG k o t
engklilili	@ NG k l i l i l i
engkitang	@ NG k i t a NG
engkilo	@ NG k i l o
engkilli	@ NG k i l i
engkililinyengkaum	@ NG k i l e l i NJ @ NG k a u m
engkililili	@ NG k i l i l i l i
engkilili-skrang	@ NG k i l i l i s k r a NG
engketik	@ NG k e t i KK
engkeroh	@ NG k @ r o h
engkerengit	@ NG k @ r @ NG i t
engkerecam	@ NG k @ r @ tS a m
engkerebau	@ NG k @ r @ b a u
engkerbai	@ NG k @ r b aj
engkeramut	@ NG k @ r a m u t
engkeramat	@ NG k @ r a m a t
engkerabun	@ NG k @ r a b u n
engkemen	@ NG k @ m @ n
engkema	@ NG k @ m @
engkelih	@ NG k @ l e h
engkecam	@ NG k @ tS a m
engkebuk	@ NG k @ b o KK
engkayu	@ NG k a j u
engkayau	@ NG k a j aw
engkasan	@ NG k a s a n
engkarong	@ NG k a r o NG
engkandul	@ NG k a n d u l
engkanang	@ NG k a n a NG
engkalau	@ NG k a l aw
engkalan	@ NG k a l a n
engkala	@ NG k a l @
engkadah	@ NG k a d a h
engkabi	@ NG k a b i
engkabau	@ NG k a b aw
engkaban	@ NG k a b a n
engil	e n dZ @ l
enggfau	@ NG g f aw
enggeris	@ NG g @ r i s
enggayu	@ NG g a j u
enggay	@ NG g a j
enggauubah	@ NG g a u b a h
enggautuai	@ NG g a o t w aj
enggaupengelikun	@ NG g a u p @ NG @ l i k u n
enggauparti	@ NG g a u p a r t i
enggaupadang	@ NG g a u p a d a NG
enggaup	@ NG g a o p
enggaunya	@ NG g aw NJ a
enggaul	@ NG g a u l
enggaukutak	@ NG g a u k u t a KK
enggaubebendar	@ NG g a u b e b e n d @
enggal	@ NG g a l
enggaiu	@ NG g a j u
enggaau	@ NG g a aw
engg	@ NG g
engeneering	e n dZ i n j @ r i NG
engchelakka	e n dZ SS e l a KK k a
engai	e n g aj
enemu	e n @ m u
enduru	i n d j u @ r u
endurraban	e n d u r a b a n
endua	i n d w @
endti	i n d j u t i aj
endsa	e n d i e s e
endong	e n d o NG
endit	e n d i t
endfar	e n d f a r
enddy	e n d i
endartang	e n d a t a NG
endarsereta	e n d a r s e r e t a
endarku	e n d a k u
endarka	e n d a k a
endar-endar	e n d a @ n d a
endapia	e n d a p j a
endanga	e n d a NG @
endaku	e n d @ k u
endabah	e n d a b a h
enchirong	i n tS i r o NG
encheremin	e n tS @ r @ m i n
enchengul	i n tS @ NG u l
enchelapka	i n tS @ l a p k a
enchelak	i n tS @ l a KK
enchan	i n tS a n
enchalun	i n tS a l u n
encephelitis	e n k e f @ l i t i s
enambelas	@ n a m b @ l a s
enam-puluh	@ n a m p u l o h
enaggu	i n e g j u
en-block	e n b l o k
empurit	@ m p u r e t
empuraudalam	@ m p u r aw d a l a m
empuran	@ m p o r a n
empuraban	@ m p u r a b a n
empungas	@ m p o NG a s
empulawa	@ m p u l a w @
empulak	@ m p u l a KK
empukung	@ m p u k o NG
empra	e m p r a
employbility	e m p l oj b i l @ t i
empikil	e m p i k e l
empi	e m p i
emperaja	@ m p @ r a dZ @
empeliau	@ m p @ l j aw
empayung	e m p a j o NG
empay	e m p a j
empawah	@ m p a w a h
empat-methylenedioxymethamphetamine	@ m p a t m e t @ l i n d i o KK s i m e t e m f e t @ m i n
empat-iku	@ m p a t i k u
empat-empat	@ m p a t @ m p a t
empasak	@ m p a s a KK
emparu	@ m p a r u
empaneg	@ m p a n @ g
empalung	@ m p a l o NG
empaloh	@ m p a l o h
empalim	@ m p a l i m
empalam	@ m p a l a m
empah	@ m p a h
empago	@ m p a g o
emou	e m o w
emoss	e m o s
emoluments	@ m o l u m @ n t z
emnua	i e m e n w @
emmanual	i m e n j u @ l
emgkah	e m g k a h
emesto	i m e s t o
embran	e m b r a n
embih	@ m b e h
embatlalala	@ m b a t l a l a l a
emban	@ m b a n
emastech	@ m a s t e k
elysha	i e l w aj e s e tS e
elyaas	e l j a s
ellien	e l j @ n
ellam	e l a m
eljohn	e l dZ o n
elisie	i l i z i
elilih	e l i l e h
eliaz	i l j a z
eliane	e l i e n
eletrikal	i l @ t r i k a l
elel	i l e l
elektrom	i l e KK t r o m
elektik	i l e KK t i KK
electronik	i l e KK t r o n e KK
elchris	e l k r i s
elaz	@ l a z
elawi	e l a w i
elain	i l e n
elagi	@ l a g i
ekzekutif	e KK z @ k u t i f
ekunda	@ k u n d a
ekumeni	e k j u m @ n i
eku	e k u
eksterimis	e KK s t @ r i m i s
eksporter	e KK s p o t @
ekspoprt	e KK s p o p i a r t i
eksko	e KK s k o
eksibisyen	e KK s i b i SS @ n
eksesias	e KK s e s j @ s
eksesasais	e KK s @ s a s aj s
ekpresku	e KK p r e s k u
ekpresi	e KK p r e s i
ekport	e KK p o t
ekohnomi	e k o n o m i
eko-pengawa	e k o p @ NG a w @
eknomi	e KK n o m i
eklisisia	e k l i s i SS @
ekinderi	e k i n d @ r i
ekie	e k i
ekesekutif	i k @ s @ k u t i f
ekeram	i k @ r a m
eken	e k @ n
ekek	e k e KK
ekasih	e k a s e h
ejip	@ dZ i p
ejensi-ejensi	e dZ @ n s i e dZ @ n s i
ejah	@ dZ a h
eilee	aj l i
eigth	i aj dZ i t i e tS
egid	i dZ i aj d i
eggai	e g aj
egau	e g aw
egar	@ g a
effine	e f i n @
efektifpia	e f e KK t i f p j a
edwars	e d w @ s
eduwebtv	e d j u d a b l j u i b i t i v i
eduan	e d w a n
edres	e d r s
edom	e d @ m
ednovation	e d n @ v e SS @ n
eding	e d i NG
edia	e d j a
edami	e d a m i
edagang	e d a g a NG
ecosistem	i k o s i s t @ m
ecopreneur	i k o p r @ n @
ecoli	i k o l i
eco-park	i k o p a r k
eco-lodge	i k o l a dZ
eco-friendly	i k o f r e n d l i
eco-camp	i k o tS a m p
eco-adventure	i k o a d v e n tS @
echeng	e k e NG
ebujlihka	@ b u dZ l e h k a
ebuh	@ b o h
ebraham	i b r a h a m
ebet	i b e t
easystore	i z i s t o r
eaglevents	i g @ l i v e n t s
eaduan	i d w a n
e-worker	i w @ k @
e-tender	i t e n d @
e-spark	i s p a k
e-society	i s @ s aj @ t i
e-search	i s @ tS
e-perumahan	i p @ r u m a h a n
e-payment	i p e m @ n t
e-paybill	i p e b i l
e-map	i m a p
e-lelaki	i l @ l a k i
e-clay	i k l e
e-bayar	i b a j a
dzulkarnaen	z u l k a r n e n
dzulfikri	z u l f i k r i
dylexsia	d i l e KK s SS @
duyunari	d u j u n a r i
duyuk	d u j o KK
duyuh	d u j o h
duyoh	d u j o h
duya	d u j a
dussie	d u s i
dusim	d u s i m
dusil	d u s e l
dusd	d u s d
duriputka	d u r i p u t k a
duras	d u r a s
duranti	d u r @ n t i
duoud-tunisia	d u aw d t u n i SS @
dunyapia	d u NJ a p j a
dunyadia	d u NJ a d j a
duny	d u n i
dunsten	d @ n s t @ n
dunin	d u n i n
dunggu	d u NG g u
dundun	d u n d u n
dululaban	d u l u l a b a n
duluaku	d u l u @ k u
dulah	d u l a h
dukumentari	d u k u m @ n t a r i
dukumennya	d u k u m @ n NJ a
dukerandau	d u k @ r a n d aw
dukena	d u k @ n @
dujung	d u dZ o NG
dujgulu	d u dZ g u l u
duitdana	d u e t d a n @
duia	d i j u aj e
duguna	d u g u n @
dudukka	d u d o KK k a
dudui	d u d u i
duduh	d u d o h
dudi-dudi	d u d i d u d i
duchennne	d a tS @ n n 
dubau	d u b aw
dubah	d u b a h
duatiga	d w a t i g @
dual-carriage	d w a l tS a r i dZ
duabelas	d w a b @ l a s
duab	d w a b
dtumbuh	d t u m b o h
dtm	d t i e m
dtikika	d i t i aj k i k @
dtangkap	d t a NG k a p
dsarawak	d i e s @ r a w a k
dsagang	d i e s a g a NG
drieza	d r i z a
dragster	d r e g s t @
dputarka	d i p u t a k a
dpi	d i p i aj
dpejalaika	d i p @ dZ a l aj k a
dpbn	d i p i b i e n
dpb	d i p i b i
dougls	d o g l s
doublin	d a b @ l i n
doroek	d o r o k
dorista	d o r i s t a
dorina	d o r i n a
doreena	d o r i n a
domiqiue	d o m i tS i u
dominiaue	d @ m i n j a
domani	d o m a n i
dolok	d o l o KK
doktoret	d o KK t o r e t
dohap	d o h a p
dohab	d o h a b
dof	d o f
doci	d o s i
dnyentukka	d NJ @ n t o KK k a
dmd	d i e m d i
dlta	d i e l t a
dllexson	d l e KK s s @ n
dkm	d i k e e m
dkerandau	d i k @ r a n d aw
dkemerat	d i k @ m @ r a t
dkemeranka	d i k @ m @ r a n k @
dkeingatka	d i k @ i NG a t k a
dkalsom	d k a l s o m
dka	d i k e e
djwata	dZ w a t a
djma	dZ m @
djaksa	dZ a KK s a
diye	d i aj
diyah	d i j a h
diwata	d i w a t a
diwakil	d i w a k e l
divisyenku	d i v i SS @ n k u
divisiyen	d i v i SS j e n
divesyen	d i v @ SS @ n
diuwan	d i u w a n
diutup	d i u t o p
diurik	d i u r e KK
diunsut	d i u n s u t
diunsai	d i u n s aj
diungkupkka	d i u NG k o p k k a
diulur	d i u l o
diudar	d i u d a r
ditutus	d i t u t u s
ditutp	d i t u t p
ditusut	d i t u s u t
ditusuika	d i t u s u i k @
diturutka	d i t u r u t k a
dituru	d i t u r u
ditunya	d i t u NJ @
ditunutung	d i t u n u t o NG
dituntungkes	d i t u n t o NG k e s
ditungu	d i t u NG u
ditunggah	d i t u NG g a h
ditungaka	d i t u NG a k @
ditundaka	d i t u n d @ k a
ditumpang	d i t u m p a NG
ditumnuhka	d i t u m n o h k a
ditumbuhkka	d i t u m b o h KK k a
ditum	d i t u m
dituliska	d i t u l i s k a
ditukena	d i t u k @ n @
ditukarka	d i t u k a r k a
dituiya	d i t u j a
ditugungka	d i t u g u NG k a
dituggung	d i t u g o NG
ditubuhka	d i t u b o h k a
ditubu	d i t u b u
ditubai	d i t u b aj
ditpanggai	d i t p a NG g aj
ditpadah	d i t p a d a h
dititihkena	d i t i t e h k @ n @
dititi	d i t i t i
ditith	d i t i t
ditisih	d i t i s e h
ditisi	d i t i s i
ditingkah	d i t i NG k a h
ditinggika	d i t i NG g i k @
ditinggi	d i t i NG g i
ditinggangka	d i t i NG g a NG k @
ditinggan	d i t i NG g a n
ditinggah	d i t i NG g a h
ditinder	d i t i n d @
ditinda	d i t i n d a
ditimpuh	d i t i m p o h
ditimbuh	d i t i m b o h
ditiku	d i t i k u
ditih	d i t i h
ditetemuka	d i t @ t @ m u k a
ditetegapka	d i t @ t @ g a p k a
ditetapkapia	d i t @ t a p k a p j a
ditetakka	d i t @ t a KK k a
ditesal	d i t @ s a l
diteruskaku	d i t @ r u s k a k u
diterma	d i t @ r m @
diterimba	d i t @ r i m b a
diteresa	d i t @ r i s @
diterenakka	d i t @ r e n a KK k a
ditengkila	d i t @ NG k i l a
ditengkerang	d i t @ NG k @ r a NG
ditenggelamka	d i t @ NG g @ l a m k a
ditenggelam	d i t @ NG g @ l a m
ditenggau	d i t @ NG g aw
ditenggali	d i t @ NG g a l i
ditengekebang	d i t @ NG @ k @ b a NG
ditengali	d i t @ NG a l i
ditengahka	d i t @ NG a h k a
ditengah-tengah	d i t @ NG a h t @ NG a h
ditemupekara	d i t @ m u p @ k a r @
ditempikka	d i t @ m p e KK k a
ditempayaka	d i t @ m p a j a k a
ditempaya	d i t @ m p a j a
ditempatka	d i t @ m p a t k a
ditemouh	d i t @ m o o h
ditemegah	d i t @ m @ g a h
ditelai	d i t @ l aj
ditekih	d i t @ k e h
ditejah	d i t @ dZ a h
ditedngah	d i t @ d NG a h
ditebing	d i t @ b i NG
ditebas	d i t @ b a s
ditebahka	d i t @ b a h k a
ditayangka	d i t a j a NG k @
ditawing	d i t a w i NG
ditau	d i t aw
ditating	d i t a t i NG
ditat	d i t a t
ditasal	d i t a s a l
ditapika	d i t a p i k a
ditapa	d i t a p @
ditankanka	d i t a n k a n k a
ditanika	d i t a n i k a
ditani	d i t a n i
ditangkaup	d i t a NG k aw o p
ditangka	d i t a NG k @
ditanggul	d i t a NG g u l
ditangguhka	d i t a NG g o h k a
ditanggarka	d i t a NG g a k a
ditangam	d i t a NG a m
ditangakp	d i t a NG a KK p
ditanay	d i t a n i
ditanan	d i t a n a n
ditampai	d i t a m p aj
ditambun	d i t a m b u n
ditambatka	d i t a m b a t k a
ditamban	d i t a m b a n
ditambahkakelebih	d i t a m b a h k a k @ l @ b e h
ditambahh	d i t a m b a h
ditai	d i t a i
ditabar	d i t a b a
ditabah	d i t a b a h
disuwaka	d i s u w a k @
disungkaka	d i s u NG k a k a
disungkah	d i s u NG k a h
disumanka	d i s u m a n k a
disuman	d i s u m a n
disulur	d i s u l o
disukungka	d i s u k o NG k a
disukatpia	d i s u k a t p j a
disukatnya	d i s u k a t NJ a
disuahka	d i s w a h k a
distrubition	d i s t r u b i SS @ n
dispilin	d i s p i l i n
disk-jockey	d i s k dZ o k i
disiuh	d i s i o h
disisplin	d i s i s p l i n
disirap	d i s i r a p
disintalka	d i s i n t a l k a
disintal	d i s i n t @ l
disimpulka	d i s i m p u l k a
disimpulangka	d i s i m p u l a NG k a
disika	d i s i k a
disibur	d i s i b o r
disi	d i s i
disetujuka	d i s @ t u dZ u k a
disetipak	d i s @ t i p a KK
disetiju	d i s @ t i dZ u
disesebut	d i s @ s @ b u t
diseremih	d i s @ r @ m i h
diserekatka	d i s @ r @ k a t k a
diserekat	d i s @ r @ k a t
diseraraka	d i s @ r a r a k a
diserangkumka	d i s @ r a NG k o m k a
diserakupka	d i s @ r a k o p k a
diserakup	d i s @ r a k o p
diseraka	d i s @ r a k a
disepital	d i s @ p i t @ l
disepemanjai	d i s @ p @ m a n dZ a i
disepar	d i s @ p a
disengkilungka	d i s @ NG k i l o NG k a
disengkidang	d i s @ NG k i d a NG
disengkelan	d i s @ NG k e l a n
disengapaempaya	d i s @ NG a p a e m p a j @
disengajaka	d i s @ NG a dZ a k a
disendiaka	d i s @ n d j a k a
disempernaka	d i s @ m p @ r n a k @
disempekat	d i s @ m p @ k a t
disempalang	d i s @ m p a l a NG
disemetakka	d i s @ m @ t a KK k a
disemelaka	d i s @ m @ l a k @
disembiayangka	d i s @ m b j a j a NG k @
disembiangka	d i s @ m b j a NG k @
diselurinya	d i s @ l o r i NJ @
diselingkutka	d i s @ l i NG k u t k a
diselara	d i s @ l a r a
diselapat	d i s @ l a p a t
diselamatkapia	d i s @ l a m a t k a p j a
disekulaka	d i s @ k u l a k @
disekula	d i s @ k u l a
disegenda	d i s @ g @ n d a
disediaku	d i s @ d j @ k u
disedaka	d i s @ d a k a
discipling	d i s i p l i NG
disc-jockey	d i s k dZ o k i
disauh	d i s aw o h
disasuh	d i s a s o h
disapi	d i s a p i
disangking	d i s a NG k i NG
disangkaka	d i s a NG k a k a
disangkaika	d i s a NG k aj k a
disandung	d i s a n d o NG
disampitutup	d i s a m p e t u t o p
disampika	d i s a m p i k a
disampi	d i s a m p i
disampel	d i s a m p @ l
disambungka	d i s a m b o NG k a
disamaka	d i s a m a k a
disainku	d i s a j i n k u
disainka	d i s aj n k a
disaguka	d i s a g u k a
disadangku	d i s a d a NG k u
disadaka	d i s a d a k a
disablement	d i s e b @ l m @ n t
disabitka	d i s a b e t k a
dirutun	d i r u t u n
dirumpangka	d i r u m p a NG k @
dirumbuhka	d i r u m b o h k a
dirujak	d i r u dZ a KK
dirudu	d i r u d u
dirpotka	d i r p o t k a
diropt	d i r o p t
dirisida	d i r i s i d a
dirisebilik	d i r i s @ b i l i KK
diripia	d i r i p j a
diriotka	d i r i o t k a
diringkat	d i r i NG k a t
diringambika	d i r i NG a m b i k a
dirika	d i r i k a
dirictor	d i r i KK t @
dirichah	d i r i tS @
diri-wangsa	d i r i w a NG s @
diri-sida	d i r i s i d a
direy	d i r @ i
diretungka	d i r @ t o NG k a
direta	d i r @ t @
direrai	d i r @ r aj
dirembang	d i r @ m b a NG
direkud	d i r @ k u d
direktpr	d i r e KK t p i a r
direktor-pampang	d i r e KK t o p a m p a NG
direktok	d i r e KK t o KK
direktar	d i r e KK t a
direkra	d i r @ k r @
direkomen	d i r e k o m @ n
direkak	d i r e k a KK
direjster	d i r @ dZ s t @
direjiter	d i r @ dZ i t @
direjisrer	d i r @ dZ i z @ r @
director-producer	d aj r e KK t @ p r o d j u s @
direchak	d aj r e KK a KK
diraut	d i r a u t
diraup	d i r a o p
dirapit	d i r a p e t
diransi	d i r a n s i
dirandauka	d i r a n d aw k a
dirampan	d i r a m p a n
dirajanya	d i r a dZ @ NJ @
dirachun	d i r a tS u n
dirabat	d i r a b a t
diputarkapia	d i p u t a k a p j a
diputarkaku	d i p u t a k a k u
dipusinka	d i p u s i n k a
dipusin	d i p u s i n
dipupu	d i p u p u
dipuntang	d i p u n t a NG
dipuntan	d i p u n t a n
dipunaskapia	d i p u n a s k a p j a
dipunaskan	d i p u n a s k a n
dipunasaka	d i p u n a s a k @
dipumpung	d i p u m p u NG
dipumai	d i p u m aj
dipudik	d i p u d e KK
diprrundingka	d i p r r u n d i NG k a
dippejalai	d i p @ dZ a l a i
dipolitik	d i p o l i t i KK
dipiring	d i p i r i NG
dipintameri	d i p i n t a m @ r i
dipint	d i p i n t
dipiling	d i p i l i NG
dipilihku	d i p i l e h k u
dipikit	d i p i k e t
dipikir	d i p i k e
dipiih	d i p i e h
dipetimbangka	d i p @ t i m b a NG k @
dipetenah	d i p @ t @ n a h
dipesit	d i p @ s e t
dipesiang	d i p @ s j a NG
dipesalam	d i p @ s a l a m
dipesalahka	d i p @ s a l a h k a
dipesadung	d i p @ s a d o NG
